Name;Name2;Producto;Teléfono;Ciudad;Correo Electrónico;Info;Sitio Web;Ubicación
ASOCIACION COLIMBIANA DE CABALLOS MINIATURA;ASOCIACION COLIMBIANA DE CABALLOS MINIATURA;Caballos Miniatura ;;BOGOTA D.C.;asominiequinos@gmail.com;ASOCIACION COLIMBIANA DE CABALLOS MINIATURA;http://;Pabellón: 04, Nivel: 01, Stand: 501
ASOCIACION ANGUS Y BRANGUS DE COLOMBIA;;SERVICIO TECNICO A ASOCIADOS Y DEMAS PRODUCTOS RELACIONADOS CON EL SECTOR.;312-2590651;MEDELLIN;asoangusbrangus@asoangusbrangus.org.co;ASOCIACION ANGUS Y BRANGUS DE COLOMBIANuestra Asociación acompaña, apoya y representa a todos los criadores de las razas Angus, Brangus y sus cruces a nivel nacional.;http://www.asoangusbrangus.org.co;Pabellón: 05, Nivel: 01, Stand: 1
A S O C E B U;;Se contara con productos promocionales y publicitarios como Gorras, chaquetas, chalecos,chaquetas,camisas,camisetas,peluches,llaveros, equipos de cuero de indumentaria bovina, termos, individuales, maletas,morrales,basculas,equipos de leche y carne, revistas, manuales, cuadernos;571-7561044;BOGOTA D.C.;direccionadministrativa@asocebu.com;A S O C E B ULa Asociación Colombiana de Criadores de Ganado Cebú, es una entidad sin ánimo de lucro que fomenta el desarrollo y mejoramiento genético de las razas cebuinas (Brahman, Gyr, Guzerá y Nelore) así como sus cruces. En la actualidad es la asociación ganadera que agrupa el mayor número de criadores de ganado puro y comercial con explotaciones ganaderas en casi la totalidad del territorio nacional.;http://www.asocebu.com;Pabellón: 11-16, Nivel: 01, Stand: 1219
ASOSIMMENTAL-SIMBRAH;;GANADO BOVINO, ASOCIACIÓN DE RAZA BOVINA, FERTILIZANTES ORGANICOS E INSUMOS VETERINARIOS.;571-7428985;BOGOTA D.C.;info@asosimmental.org;ASOSIMMENTAL-SIMBRAHAsociación de ganaderos enfocada al mejoramiento genético de las razas Simmental, Simbrah, Simcebù y sus cruces en Colombia y Latinoamerica. ;http://www.asosimmental.org;Pabellón: 11-16, Nivel: 01, Stand: 126B
ASOSIMMENTAL-SIMBRAH;;GANADO BOVINO, ASOCIACIÓN DE RAZA BOVINA, FERTILIZANTES ORGANICOS E INSUMOS VETERINARIOS.;571-7428985;BOGOTA D.C.;info@asosimmental.org;ASOSIMMENTAL-SIMBRAHAsociación de ganaderos enfocada al mejoramiento genético de las razas Simmental, Simbrah, Simcebù y sus cruces en Colombia y Latinoamerica. ;http://www.asosimmental.org;Pabellón: 11-16, Nivel: 01, Stand: 919A
ASOSIMMENTAL-SIMBRAH;;GANADO BOVINO, ASOCIACIÓN DE RAZA BOVINA, FERTILIZANTES ORGANICOS E INSUMOS VETERINARIOS.;571-7428985;BOGOTA D.C.;info@asosimmental.org;ASOSIMMENTAL-SIMBRAHAsociación de ganaderos enfocada al mejoramiento genético de las razas Simmental, Simbrah, Simcebù y sus cruces en Colombia y Latinoamerica. ;http://www.asosimmental.org;Pabellón: 11-16, Nivel: 01, Stand: 819A
ASOCIACIÓN WAGYU COLOMBIA;ASOCIACIÓN WAGYU COLOMBIA;ANIMALES, VENTA DE GENÉTICA WAGYU. ;315-3580391;BOGOTA D.C.;direjecutivo.wagyuco@gmail.com;ASOCIACIÓN WAGYU COLOMBIA;http://www.wagyu.com.co;Pabellón: 11-16, Nivel: 01, Stand: 620
WAGYU COLOMBIA;WAGYU COLOMBIA;ANIMALES, VENTA DE GENÉTICA, VENTA DE GENÉTICA WAGYU;315-3580391;BOGOTA D.C.;direjecutivo.wagyuco@gmail.com;WAGYU COLOMBIA;http://www.wagyu.com.co;Pabellón: 11-16, Nivel: 01, Stand: 415A
WAGYU COLOMBIA;WAGYU COLOMBIA;VENTA DE PRODUCTOS Y SUBPRODUCTOS CÁRNICOS EMPACADOS AL VACÍO Y PREPARADOS. COMIDA AL PASO.;315-3580391;BOGOTA D.C.;direjecutivo.wagyuco@gmail.com;WAGYU COLOMBIA;http://www.wagyu.com.co;Pabellón: AL02, Nivel: 01, Stand: 15
ASOCIACIÓN PORKCOLOMBIA - FNP;;;571-2486777;BOGOTA D.C.;dcorrea@porkcolombia.co;ASOCIACIÓN PORKCOLOMBIA - FNPEn la Asociación Colombiana de Porcicultores, Porkcolombia – FNP, trabajamos con pasión por el desarrollo de la agroindustria porcícola y la productividad del campo en Colombia, apuntando a su sostenibilidad.Representamos el trabajo y la fuerza de miles de porcicultores colombianos a quienes acompañamos en sus procesos de mejora y tecnificación para contar con los más altos estándares en cada eslabón de la cadena productiva, brindando a los hogares de Colombia y el mundo, la mejor carne de cerdo.Fomentamos el consumo de la carne de cerdo colombiana porque conocemos su calidad, versatilidad y valores nutricionales, respaldados por el cuidadoso trabajo de nuestros porcicultores.;http://www.porkcolombia.co/;Pabellón: ALB, Nivel: 01, Stand: 27
